input,output,output_predicted,similarity_score
"On a strenuous 9-1/2 mile walk from the Tuolumne Meadows area you can view the exuberant Tuolumne Falls. Drilling falls from these excursions such as the spectacular Waterwheel Falls and Trouebles waterfall are a short distance beyond, niear Glen Aulin Camp in Grand Canyon of the Tuolumne.","On a strenuous 9-1/2 mile walk from the Tuolumne Meadows area, you can view the exuberant Tuolumne Falls. Other falls such as the spectacular Waterwheel Falls, are a short distance beyond, near Glen Aulin Camp in the Grand Canyon of the Tuolumne.",On a strenuous 9-1/2 mile walk from the Tuolumne Meadows area you can view the exuberant Tuolumne Falls. Drilling falls from these excursions such as the spectacular Waterwheel Falls and Trouebles waterfall are a short distance beyond.,0.6097560975609756
"Gottlieb studied at the art students' league with Social Realists John Sloan and Robert Henri, but left abruptly for Paris at the Academie de la Grand Chaumiere in 1921 when he was student student; in New York he lived until his death becoming interested in a primitive sculpture.","Gottlieb studied at the Art Students League with Social Realists John Sloan and Robert Henri, but left abruptly in 1921 for Paris where he enrolled at the Academie de la Grand Chaumiere. Returning in 1923, he lived in New York and developed an interest in primitive sculpture.","Gottlieb studied at the art students' league with Social Realists John Sloan and Robert Henri, but left abruptly for Paris at the Academie de la Grand Chaumiere in 1921 when he was a student student; in New York he lived until his death becoming interested in",0.6268115942028986
"Artist to mercy ships,talk us more about this and what do you do in here?",Artist to Mercy Ships. Tell us more about this and what do you do in here?,"Artist to Mercy Ships,talk us more about this and what do you do in here?",0.9324324324324325
"Push eleven Six, smooth as butter â and it still got climb switch.","Push ElevenSix, smooth as butter â and it still has a climb switch.","Push eleven Six, smooth as butter â and it still got a climb switch.",0.8985507246376812
The largest southern city has both a mayor's office and its city serves them a large amount and a wide variety of citizens.,The largest southern city has both a mayor's office and a city council to serve the large amount and wide variety of citizens.,The largest southern city has both a mayor's office and its city serves a large amount and a wide variety of citizens.,0.8650793650793651
If youâre lucky that enough to have a porch... youâre lucky enough.,If youâre lucky enough to have a porch... youâre lucky enough.,If youâre lucky enough to have a porch... youâre lucky enough.,0.9393939393939394
Even if weâre the home of Hollywood it and cosmetic surgery will be offered all across the country.,"Even if weâre the home of Hollywood, cosmetic surgery is offered all across the country.","Even if weâre the home of Hollywood, cosmetic surgery will be offered all across the country.",0.9139784946236559
"When you have just about any questions placed exactly where in addition to how you can utilize design your own room pbteen, you can call us with our web site.","When you have just about any questions concerning exactly where in addition to how you can utilize design your own room pbteen, you can call us with our web site.","When you have just about any questions regarding exactly where in addition to how you can utilize design your own room, you can call us on our web site.",0.8950617283950617
The Burlap Holly Spray is red and green > > little to the snowman.,The Burlap Holly Spray is red and green and added a little color to the snowman.,The Burlap Holly Spray is red and green > little to the snowman.,0.7875
"The oil tanker the ""road view"".","The oil tanker the ""Straitview"".","The oil tanker the ""road view"".",0.84375
What determined a local /remote fault in port when it goes down.,What determines a local/remote fault on a port when it goes down.,What determined a local / remote fault in port when it goes down?,0.8923076923076922
Mark Making explorations through geanertive and computational translations.,Mark making explorations through generative and computational translations.,Mark Making explorations through geanertive and computational translations.,0.96
"If you do nothing during your visit but look through the website, read pages or download information, our websiteâs Chat system will automatically write some general information about your visit.","If you do nothing during your visit but browse through the website, read pages, or download information, our websiteâs Chat system will automatically record some general information about your visit.","If you do nothing during your visit but look through the website, read pages or download information, our websiteâs Chat system will automatically write some general information about your visit.",0.9303482587064676
How do I change my PROFILE LOCATION.,How do I change my PROFILE LOCATION?,How do I change my PROFILE LOCATION?,1.0
"The first funeral for a Friday victim to be shooting at a US school was held on Monday, after President Barack Obama told a vigil in Newtown, Connecticut, that ""Weâre not doing enough"" as a country for preventing such tragedies.","The first funerals for victims of a Friday shooting at a US school were held on Monday, a day after President Barack Obama told a vigil in Newtown, Connecticut, that ""Weâre not doing enough"" as a country to prevent such tragedies.","The first funeral for a Friday victim who was shot at a US school was held on Monday, after President Barack Obama told a vigil in Newtown, Connecticut, that ""Weâre not doing enough"" as a country to prevent such tragedies.",0.8491379310344828
"Week 17 have kept a whopping 13 games since tonight and ending Monday, but the Power Rankings remain strictly only with three weeks left in 2017/18 regular season.","Week 17 promises a whopping 13 games starting tonight and ending Monday, but the Power Rankings have mostly calcified with three weeks remaining in the 2017/18 regular season.","Week 17 has kept a whopping 13 games since tonight and ending Monday, but the Power Rankings remain strictly with three weeks left in the 2017/18 regular season.",0.7771428571428571
Good's from 7 to 77 years old.,Good from age 7 to 77.,Goods from 7 to 77 years old.,0.5172413793103448
Chance are youâve had some experience of investing in the past,The chances are youâve had some experience of investing in the past.,Chances are youâve had some experience investing in the past.,0.8571428571428572
"Still seeking their first major legislative victory under the Trump administration, Republican leaders signaled that the tax overhaul will be their centerpeice in this fall, after a summer recess that began Friday in the House.","Still seeking their first major legislative victory under the Trump administration, Republican leaders signaled that the tax overhaul will be their centerpiece this fall, after a summer recess that began Friday in the House.","Still seeking their first major legislative victory under the Trump administration, Republican leaders signaled that the tax overhaul will be their centerpiece this fall, after a summer recess that began Friday in the House.",1.0
"Kol. Thanks to the fulect, Alex.","Cool. Thanks for the redirect, Alex.","Kol. Thanks for the suggestion, Alex.",0.7027027027027026
"If you desire more information about attachement theory, you can slol down to the end of this page and choose between the many attachement related links there.","If you desire more information about attachment theory, you can scroll down to the end of this page and choose between the many attachment related links there.","If you desire more information about attachement theory, you can scroll down to the end of this page and choose between the many attachement related links there.",0.9875776397515528
"Social Security number 183-22-6664 was issued to GLORIA KWIATKOWSKI, He was born 29 March 1929 and, Death Master File says, die 05 June 1999.","Social Security number 183-22-6664 was issued to GLORIA KWIATKOWSKI, who was born 29 March 1929 and, Death Master File says, died 05 June 1999.","Social Security number 183-22-6664 was issued to GLORIA KWIATKOWSKI, He was born 29 March 1929 and, Death Master File says, died 05 June 1999.",0.9790209790209791
Have used a water bottle instead of a plastic bag in the last version.,Use a water bottle instead of a plastic bag on the last version.,Have used a water bottle instead of a plastic bag in the last version.,0.8857142857142857
Thatâs why we cooperated with Congress this year to draft a meaningful update of our laws which would address a specific problem: the growing online disclosure cliff which Sunlight has warned of for years.,Thatâs why we worked with Congress last year to draft a meaningful update to our laws that would address a specific problem: the growing online disclosure cliff that Sunlight has warned of for years.,Thatâs why we cooperated with Congress this year to draft a meaningful update of our laws which would address a specific problem: the growing online disclosure cliff which Sunlight has warned of for years.,0.8926829268292683
"Towcester racecourse locate in Easton Neston Estate, in London Road, Towcester recently rebuilt in the course of course one of the countryâs most scenic National Hunt courses, with various meets throughout the year as well as greyhound racing three times a week.","Towcester Racecourse is located on the Easton Neston Estate, on London Road, Towcester. Recently rebuilt, the course hosts one of the countryâs most scenic National Hunt Courses, with various meets throughout the year â as well as greyhound racing three times a week.","Towcester racecourse located in Easton Neston Estate, in London Road, Towcester recently rebuilt in the course of one of the countryâs most scenic National Hunt courses, with various meets throughout the year as well as greyhound racing three times a week.",0.9040590405904059
Hope your Valentine's is delighte...just like you are!,Hope your Valentine's day is a delight...just like you are!,Hope your Valentine's Day is delightful...just like you are!,0.9
"Barbara Heinz ""P343"" â¢ David Smith ""STUMPMI "" â¢ is BUTCH49""","Barbara Heinz ""P343"" â¢ David Smith ""STUMPMI"" â¢ ""BUTCH49""","Barbara Heinz ""P343"" â David Smith ""STUMPMI "" â is BUTCH49""",0.8833333333333333
"stevez replied: besides, if I ever took wife, or any girl I have ever dated, for that matter, to White Castle for Valenten's Day, well, let's just say do n 't end well with me.","stevez wrote: Plus, if I ever took my wife, or any girl I have ever dated, for that matter, to White Castle for Valentine's Day, well, let's just say it wouldn't end well for me.","stevez replied: besides, if I ever took wife, or any girl I have ever dated, for that matter, to White Castle for Valenten's Day, well, let's just say it didn't end well with me.",0.8595505617977528
